indv	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
NA18952	0.0129	-0.0238	-0.0066	0.0067	0.0169	0.005	-0.0014	0.0038	0.0093	0.0049	0.0025	-0.0031	0.004	-0.0016	0.0056	-0.0058	-0.0068	-8e-04	-0.0043	-0.001
NA18953	0.0125	-0.0135	-0.0011	0.0055	0.0066	0.0083	-0.0044	0.0139	0.0156	0.0018	0.0088	9e-04	0.0017	-0.0067	-0.0046	-0.015	-0.0071	-0.0046	-0.0059	-0.0056
NA18954	0.015	-0.0263	1e-04	0.0041	0.0055	0.0123	-3e-04	0.009	0.007	-0.0073	-0.002	0.0043	0.0036	-0.0019	-0.0034	-0.0085	-0.0026	-0.0031	3e-04	0.005
NA18956	0.01	-0.0053	-0.0107	0.0135	0.0323	0.0166	-0.003	0.0023	0.0019	0.0064	0.0123	-0.0164	-0.0015	-0.0059	-0.0057	0.0075	0.0103	-0.0105	-0.0083	0.0015
NA18957	0.0131	-0.0242	0.0011	0.0031	5e-04	0.0079	-0.0076	-0.0125	0.0102	-0.0071	-0.0033	0.004	-0.0021	0.0024	-0.0108	-0.0048	-1e-04	0.0046	-0.0083	-0.0114
NA18959	0.0114	-0.0079	-0.0028	0.0092	0.0162	0.0223	-0.009	-0.0092	0.01	-0.0078	0.003	0.0037	0.0022	-5e-04	-0.0135	-0.0128	0.0034	-0.0095	-0.0041	0.0089
NA18960	0.0132	-0.0268	-7e-04	0.0052	0.0071	0.014	-0.003	0.0125	-8e-04	0.0044	0.0124	-0.0091	-0.0029	-0.0016	-1e-04	-0.0031	-0.0039	-0.0023	-0.0082	-0.0079
NA18961	0.0152	-0.0243	0.0011	0.0034	0.0019	0.0048	-0.0061	-0.005	0.0164	-0.0118	-0.003	0.0103	0.0039	-0.0088	-0.0177	-0.0135	0.0074	-0.0103	0.0048	0.0118
NA18962	0.0145	-0.0275	6e-04	0.0056	0.0052	0.0191	-0.0021	0.0042	-0.0062	-0.0046	-0.0014	2e-04	-0.0022	0.0068	0.0022	0.0052	0.0022	0.0044	0.0013	0.0096
NA18963	0.0073	-0.0077	-0.0169	0.018	0.0476	0.0138	-0.003	-0.0084	-0.0133	-1e-04	-4e-04	-0.0194	-0.0027	0.0044	0.0011	0.0258	0.0256	-0.0124	0.0054	0.0244
NA18964	0.0143	-0.0248	2e-04	0.0038	0.0042	0.0142	0.0026	0.0145	5e-04	-0.0117	-0.0077	0.0024	0.0056	-0.002	0.0018	-0.0029	-0.001	0.0023	-0.0045	0.0029
NA18965	0.0124	-0.0288	-8e-04	0.0054	0.007	0.0149	-0.0026	0.0123	0.0027	0.0116	0.0109	-0.0121	1e-04	0.0048	0.0099	-0.0029	-0.0089	0.0044	-0.0111	-0.0128
NA18966	0.0105	-0.0239	7e-04	0.0014	-0.0031	-0.0151	-0.0099	0.0037	0.0302	-5e-04	6e-04	-0.0079	0.0092	-0.0032	-0.0019	0.0046	-0.0044	0	-0.0036	-0.0095
NA18967	0.0105	-0.0113	-0.0049	0.0119	0.0215	0.0322	-0.0039	5e-04	-0.01	-0.0143	-0.0093	-0.0106	0.0013	0.002	-2e-04	0.0187	0.0191	0.0021	-0.0033	0.0038
NA18968	0.0122	-0.026	3e-04	0.0029	0.0044	-7e-04	-0.0034	0.0036	0.0211	-0.0187	-5e-04	0.007	0.0012	-0.0095	-0.0171	-0.0062	0.0049	-0.0069	-0.006	-0.0066
NA18969	0.013	-0.0174	-0.0033	0.01	0.0141	0.0323	-0.0022	0.0113	-0.0198	0.0115	0.0106	-0.0159	-0.0044	0.0038	0.0124	0.0062	-0.0011	0.001	7e-04	0.0136
NA18970	0.0136	-0.0258	8e-04	0.0052	0.0042	0.022	0.0014	-0.0059	-0.007	-0.0025	-0.0041	-0.0087	-0.0034	0.008	-0.0012	0.0066	0.0105	0.0039	-0.0045	0.007
NA18971	0.0123	-0.0228	-0.0092	0.0091	0.028	-3e-04	-3e-04	0.011	0.0038	-0.0022	0.005	0.012	3e-04	-0.0037	-0.0011	-0.0205	-0.0035	-0.005	0.0012	0.0062
NA18972	0.013	-0.0236	2e-04	0.001	0.002	-0.0021	-0.0023	0.0047	0.0239	-0.0202	-0.0116	0.0083	0.012	6e-04	-0.0115	-0.0075	0.0054	-0.0032	-0.0011	-0.0094
NA18973	0.0118	-0.0104	-0.0039	0.0115	0.0225	0.0226	-0.0064	0.0078	0.012	-0.0048	0.0122	-0.0067	-0.0023	-0.001	-0.0141	-0.0042	-1e-04	-0.006	-0.0125	-0.0038
NA18974	0.0115	-0.0189	-0.0101	0.0072	0.0252	-0.0189	-6e-04	0.0048	0.0213	0.0055	0.003	-0.0039	0.0073	-0.0093	-0.004	-0.0124	-0.0034	-0.0129	0.0033	0.0034
NA18975	0.0101	-0.0216	-0.0102	0.0074	0.0253	-0.0186	0.0029	0.0221	0.0206	0.0076	0.0102	-0.006	0.0053	-0.0074	0.0068	-0.0079	-0.0092	-0.0027	-0.0135	-0.0203
