indv	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
HG01809	-0.0101	0.0308	0.009	0.0149	1e-04	-0.0022	-0.0017	0.0026	0.0034	-0.0096	0.0028	0	0.0022	-5e-04	0.0028	0.0044	-0.0089	-0.0059	0.0097	0.0046
HG01810	-0.0082	0.0316	0.0086	0.0152	-0.002	-0.0052	-0.0041	-0.004	0.0053	-0.0026	0.0056	-0.0054	7e-04	3e-04	0.0012	0.0014	-6e-04	-0.0013	-0.0043	0.0046
HG01811	-0.009	0.0341	0.0038	0.0123	3e-04	-0.0068	-0.0038	0.009	-0.0028	-3e-04	-0.0131	-0.0023	0.0032	-4e-04	-2e-04	-7e-04	-0.0012	2e-04	-0.0075	-0.0033
HG01812	-0.0099	0.0291	0.0148	0.0056	0.0038	0.001	0.0064	-0.0023	-0.0039	0.0069	0.0016	-0.0018	-0.0049	-0.0031	0.0035	0	-3e-04	0	0.0032	0.0039
HG01813	-0.0091	0.0286	0.0047	0.0084	0.0013	-0.0011	-7e-04	-6e-04	-0.0011	-0.001	0.0027	-0.0039	-0.0041	0.0027	3e-04	1e-04	0.0041	0.004	-0.0063	8e-04
HG01815	-0.0103	0.0278	0.0071	0.0166	0.0023	-2e-04	0.0045	-0.0043	-0.003	0.0059	-0.0014	-0.0025	-3e-04	-4e-04	0.0019	0.0017	0.0021	0.0051	8e-04	-0.0012
HG01816	-0.0084	0.0305	0.0075	0.0191	-0.0016	-0.0051	-0.0044	0.0048	0.001	-0.0061	-7e-04	0.003	0.0056	-8e-04	6e-04	0.0036	-0.0109	-0.0072	0.0104	0.0059
HG01817	-0.0088	0.0313	0.0094	0.0154	-0.0018	-0.0068	9e-04	0.0032	-0.0019	-0.0018	-0.0062	-0.0031	0.0014	-6e-04	0.0044	0.0022	-0.0037	-0.0037	0.0045	0.005
HG01840	-0.0098	0.0169	0.005	0.0039	0.0014	-0.0014	9e-04	3e-04	-0.0023	-0.0012	2e-04	0.0098	-0.0029	5e-04	-0.007	-6e-04	-0.0019	0.002	0.004	6e-04
HG01841	-0.0098	0.0287	0.0072	0.0052	0.002	1e-04	0.0017	-0.0036	-0.0019	0.0048	0.0093	-0.0061	-0.0075	-8e-04	0.0019	-0.0039	0.0034	0.0065	-0.0129	5e-04
HG01842	-0.009	0.0346	0.0023	0.0113	-0.0016	-0.0062	-0.0042	0.0058	-2e-04	-0.003	-0.008	-0.0024	0.001	-0.0013	0.0022	0.0028	-0.0043	-0.0042	0.0023	0.0029
HG01843	-0.0094	0.0255	0.0079	0.0069	-0.001	0.0031	-0.0016	-0.005	-0.0027	0.0056	0.0072	-0.0062	-0.0018	-0.0055	0.0022	-0.0023	0.0023	0.0022	-0.0027	0.0044
HG01844	-0.0077	0.0303	0.0017	0.0082	-0.0024	0.0012	4e-04	9e-04	-0.01	0.0074	-0.0091	0.0036	-0.0057	-0.0072	-0.0045	0.0028	-7e-04	2e-04	-0.0013	-2e-04
HG01845	-0.0092	0.0283	0.0069	0.017	5e-04	0	0	-0.0028	0.001	0.0035	0.0041	0.0034	-3e-04	-0.0024	-0.0019	0.0028	-0.0013	-0.0025	-1e-04	0.0039
HG01846	-0.0068	0.0306	0.0045	0.0141	-0.0029	-0.0017	0.0028	-2e-04	0.0028	-0.004	-0.0039	9e-04	0.0056	-1e-04	-0.0015	0.0025	-0.0037	-0.0042	-0.0017	-0.0016
HG01847	-0.0096	0.029	0.0013	0.0135	-6e-04	-0.008	-0.0019	0.0037	-0.001	0.0016	-0.0014	-0.0043	-0.0044	-0.0019	-0.0018	0.0053	-0.0036	0.0028	-0.003	0.0029
