ID1	ID2	IBD_CM_SUM
HG02574	HG02589	7.895967
HG00732	HG01083	11.39725
HG02783	HG03663	25.77962
HG01986	HG02318	32.00074
HG00640	HG01051	37.9381
HG01048	HG01311	26.8587
HG03074	HG03442	6.179897
HG02153	HG02180	5.512436
HG02690	HG02691	962.8468
HG02278	NA19773	7.487398
HG02508	HG02536	5.181152
HG01051	HG01098	49.78675
HG00315	HG00357	24.4021
HG02775	HG02789	38.30106
HG01915	HG02580	6.007532
HG00640	HG00732	71.78106
HG01124	HG01149	20.34268
HG00269	HG00373	14.47649
HG01048	HG01167	17.20037
HG01965	NA19747	5.080444
HG01048	HG01247	32.10116
HG01198	HG01412	63.1917
HG02684	HG02685	283.4334
HG01556	HG01912	5.828598
HG00379	HG00382	16.87877
HG01048	HG01323	38.09324
NA19761	NA19762	25.7064
HG00640	HG01083	14.73126
HG02339	HG02577	12.95738
HG01051	HG01405	40.81639
HG01198	HG01516	5.378952
HG00640	HG01058	19.67732
HG00640	HG01086	24.46472
HG02690	HG02694	217.0014
HG03097	HG03419	39.04878
HG00269	HG00371	26.03896
HG00421	HG00445	6.043274
HG03741	HG03991	6.890056
HG00269	HG00358	13.81286
HG00269	HG00361	38.3363
HG02952	HG03121	11.27805
HG03729	HG03864	15.10823
HG01198	NA19454	5.599579
HG01363	HG01464	18.87377
HG03097	HG03455	9.379753
HG02688	HG02784	13.14882
HG01198	HG01302	30.77637
HG01051	HG01171	14.0755
HG02688	HG03018	34.54861
HG02153	HG02383	8.088642
HG02339	NA20342	6.553616
HG02688	HG02778	36.28197
HG00269	HG00368	30.36324
HG01124	HG01491	23.0106
NA21103	NA21104	136.205
HG02947	HG02970	25.71597
HG01085	HG01108	28.72415
NA19351	NA19383	5.512085
HG00640	HG01395	39.22148
HG00732	HG01402	66.81894
HG01986	HG02315	21.00388
HG00732	HG01182	52.21067
HG00640	HG01403	58.63432
HG02309	HG02558	16.158
HG02586	HG02760	8.559998
HG01085	HG01111	66.52497
HG02952	HG03190	24.42245
HG01104	HG01177	35.6411
HG02014	HG02419	24.50827
HG01104	HG01392	20.03284
HG00732	HG01064	44.75798
HG00280	HG00349	6.185299
HG00732	HG01465	5.619338
HG02775	HG02784	21.38223
HG01104	HG01412	11.26988
HG02775	HG03640	26.77919
HG01104	HG01325	18.14481
